"","Cell_type","Replicate","siRNA","Treatment","Intersection","Time_Period","Values"
"301","Melanocytes",4,"Unstransfected","No_SDF1",4,"HOUR_0",619563
"302","Melanocytes",4,"Unstransfected","No_SDF1",4,"HOUR_5",570016
"303","Melanocytes",4,"Unstransfected","No_SDF1",4,"HOUR_8",459125
"304","Melanocytes",4,"Unstransfected","No_SDF1",4,"HOUR_18",268012
"305","Melanocytes",4,"Scramble","No_SDF1",1,"HOUR_0",675324
"306","Melanocytes",4,"Scramble","No_SDF1",1,"HOUR_5",600672
"307","Melanocytes",4,"Scramble","No_SDF1",1,"HOUR_8",566221
"308","Melanocytes",4,"Scramble","No_SDF1",1,"HOUR_18",360542
"309","Melanocytes",4,"Scramble","No_SDF1",2,"HOUR_0",654431
"310","Melanocytes",4,"Scramble","No_SDF1",2,"HOUR_5",608173
"311","Melanocytes",4,"Scramble","No_SDF1",2,"HOUR_8",448174
"312","Melanocytes",4,"Scramble","No_SDF1",2,"HOUR_18",367008
"313","Melanocytes",4,"Scramble","No_SDF1",3,"HOUR_0",779779
"314","Melanocytes",4,"Scramble","No_SDF1",3,"HOUR_5",662400
"315","Melanocytes",4,"Scramble","No_SDF1",3,"HOUR_8",555535
"316","Melanocytes",4,"Scramble","No_SDF1",3,"HOUR_18",367666
"317","Melanocytes",4,"Scramble","No_SDF1",4,"HOUR_0",782119
"318","Melanocytes",4,"Scramble","No_SDF1",4,"HOUR_5",703238
"319","Melanocytes",4,"Scramble","No_SDF1",4,"HOUR_8",687578
"320","Melanocytes",4,"Scramble","No_SDF1",4,"HOUR_18",463560
"321","Melanocytes",4,"CXCR7_siRNA","No_SDF1",1,"HOUR_0",641903
"322","Melanocytes",4,"CXCR7_siRNA","No_SDF1",1,"HOUR_5",534949
"323","Melanocytes",4,"CXCR7_siRNA","No_SDF1",1,"HOUR_8",424259
"324","Melanocytes",4,"CXCR7_siRNA","No_SDF1",1,"HOUR_18",187141
"325","Melanocytes",4,"CXCR7_siRNA","No_SDF1",2,"HOUR_0",653455
"326","Melanocytes",4,"CXCR7_siRNA","No_SDF1",2,"HOUR_5",597662
"327","Melanocytes",4,"CXCR7_siRNA","No_SDF1",2,"HOUR_8",483413
"328","Melanocytes",4,"CXCR7_siRNA","No_SDF1",2,"HOUR_18",221494
"329","Melanocytes",4,"CXCR7_siRNA","No_SDF1",3,"HOUR_0",643198
"330","Melanocytes",4,"CXCR7_siRNA","No_SDF1",3,"HOUR_5",560710
"331","Melanocytes",4,"CXCR7_siRNA","No_SDF1",3,"HOUR_8",474238
"332","Melanocytes",4,"CXCR7_siRNA","No_SDF1",3,"HOUR_18",182816
"333","Melanocytes",4,"CXCR7_siRNA","No_SDF1",4,"HOUR_0",682077
"334","Melanocytes",4,"CXCR7_siRNA","No_SDF1",4,"HOUR_5",651518
"335","Melanocytes",4,"CXCR7_siRNA","No_SDF1",4,"HOUR_8",482052
"336","Melanocytes",4,"CXCR7_siRNA","No_SDF1",4,"HOUR_18",353771
"337","Melanocytes",4,"Unstransfected","SDF1",1,"HOUR_0",578493
"338","Melanocytes",4,"Unstransfected","SDF1",1,"HOUR_5",491626
"339","Melanocytes",4,"Unstransfected","SDF1",1,"HOUR_8",444078
"340","Melanocytes",4,"Unstransfected","SDF1",1,"HOUR_18",375687
"341","Melanocytes",4,"Unstransfected","SDF1",2,"HOUR_0",545170
"342","Melanocytes",4,"Unstransfected","SDF1",2,"HOUR_5",505585
"343","Melanocytes",4,"Unstransfected","SDF1",2,"HOUR_8",460314
"344","Melanocytes",4,"Unstransfected","SDF1",2,"HOUR_18",369973
"345","Melanocytes",4,"Unstransfected","SDF1",3,"HOUR_0",600363
