Cell_type,Replicate,siRNA,Treatment,Intersection,HOUR_0,HOUR_5,HOUR_8,HOUR_18
Melanocytes,4,Scramble,No_SDF1,4,782119,703238,687578,463560
Melanocytes,4,CXCR47_siRNA,No_SDF1,1,641903,534949,424259,187141
Melanocytes,4,CXCR47_siRNA,No_SDF1,2,653455,597662,483413,221494
Melanocytes,4,CXCR47_siRNA,No_SDF1,3,643198,560710,474238,182816
Melanocytes,4,CXCR47_siRNA,No_SDF1,4,682077,651518,482052,353771
Melanocytes,4,Unstransfected,SDF1,1,578493,597865,486631,375687
Melanocytes,4,Unstransfected,SDF1,2,545170,505585,460314,369973
Melanocytes,4,Unstransfected,SDF1,3,600363,523180,502181,322011
Melanocytes,4,Unstransfected,SDF1,4,567991,560371,455935,253454
Melanocytes,4,Scramble,SDF1,1,656670,550233,456870,376742
Melanocytes,4,Scramble,SDF1,2,623626,6233912,534142,338762
Melanocytes,4,Scramble,SDF1,3,654713,561819,474764,325852
Melanocytes,4,Scramble,SDF1,4,658346,535256,501648,378729
Melanocytes,4,CXCR47_siRNA,SDF1,1,675682,560905,477110,259560
Melanocytes,4,CXCR47_siRNA,SDF1,2,676077,577132,501383,317208
Melanocytes,4,CXCR47_siRNA,SDF1,3,630067,554822,528334,226822
Melanocytes,4,CXCR47_siRNA,SDF1,4,680461,608645,524064,348501
